"Fecha;Hora;Texto_aviso_WinCC;Lugar_de_averia;Nombre_de_usuario"
"22/11/18;05:33:24 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;05:33:03 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;05:24:10 PM;Tunel Forum:    Fallo Comunicación;Forum;"
"22/11/18;05:23:56 PM;Tunel Forum:    Fallo Comunicación;Forum;"
"22/11/18;05:22:59 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;05:17:56 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;05:14:12 PM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;05:08:12 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;05:07:54 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;04:54:10 PM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;04:54:05 PM;WEBRT:RONDAS-PC:WebClient UTERONDESBCN04 - conexión establecida (Usuario=operador);;"
"22/11/18;04:54:00 PM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;04:53:58 PM;WEBRT:RONDAS-PC:WebClient UTERONDESBCN04 - conexión desconectada (Usuario=operador);;"
"22/11/18;04:53:14 PM;Tunel Poble Nou:     Fallo Comunicación;Poble Nou;"
"22/11/18;04:52:04 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;04:50:54 PM;Tunel Poble Nou:     Fallo Comunicación;Poble Nou;"
"22/11/18;04:46:32 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;04:46:32 PM;Tunel San Feliu:    Alarma Intrusion;San Feliu;"
"22/11/18;04:46:14 PM;Tunel San Feliu:     Alarma bocina anulada;San Feliu;"
"22/11/18;04:45:28 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;04:41:56 PM;Pozo 8:    Fallo Comunicación;Pozo 8;"
"22/11/18;04:40:28 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;04:39:22 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;04:35:52 PM;Pozo 8:    Fallo Comunicación;Pozo 8;"
"22/11/18;04:34:42 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;04:34:25 PM;Tunel San Feliu:     Alarma bocina anulada;San Feliu;"
"22/11/18;04:34:09 PM;Tunel San Feliu:    Alarma Intrusion;San Feliu;"
"22/11/18;04:33:22 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;04:28:26 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;04:28:10 PM;Tunel Media Poble Nou:     Fallo Comunicación;MPoble Nou;"
"22/11/18;04:25:46 PM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;04:24:54 PM;Tunel Baró de Viver:    Potencia Reactiva bajo mónimos.;Collserola;"
"22/11/18;04:22:36 PM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;04:22:24 PM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;04:21:54 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;04:21:35 PM;Tunel Baró de Viver:    Potencia Reactiva bajo mónimos.;Collserola;"
"22/11/18;04:21:20 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;04:14:22 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;04:09:30 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
